LineId,Content,EventId,EventTemplate
81,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BL/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
82,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BL/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
83,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BL/*BASE*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
84,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BL/*SWD': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
85,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BL/*load': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
86,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BL/*tar': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
87,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BL/*sym': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
88,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BL/*sim': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
89,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BL/*elf': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
90,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BL/*map': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
91,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK833FA/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
